,article_id,product_type_no,graphical_appearance_no,colour_group_code,perceived_colour_value_id,perceived_colour_master_id,index_group_no,section_no,garment_group_no,cluster,img_name
92668,854748001,270,1010001,11,1,9,4,40,1005,71,085/0854748001.jpg
84567,816249001,81,1010011,3,3,15,4,43,1020,346,081/0816249001.jpg
70421,760454001,262,1010001,12,2,11,2,53,1007,237,076/0760454001.jpg
11041,545258018,90,1010016,42,2,18,1,64,1020,210,054/0545258018.jpg
35043,644967001,258,1010007,9,4,5,1,15,1010,150,064/0644967001.jpg
44813,681180030,265,1010016,42,5,18,2,53,1013,198,068/0681180030.jpg
102268,903141001,66,1010016,14,4,11,1,65,1019,348,090/0903141001.jpg
52253,700919003,275,1010001,8,4,12,4,79,1002,373,070/0700919003.jpg
86954,825642004,255,1010017,90,5,19,4,47,1005,134,082/0825642004.jpg
63625,739659022,265,1010001,11,1,9,4,76,1005,97,073/0739659022.jpg
21913,596005001,66,1010016,9,4,5,3,25,1019,98,059/0596005001.jpg
37565,654140001,70,1010016,9,4,5,1,66,1019,302,065/0654140001.jpg
90221,842020001,272,1010023,11,1,-1,3,56,1016,350,084/0842020001.jpg
32780,636420001,275,1010001,73,4,2,1,15,1012,324,063/0636420001.jpg
68632,754895001,258,1010022,42,5,18,1,18,1010,369,075/0754895001.jpg
79296,797079007,267,1010023,73,4,2,2,53,1013,390,079/0797079007.jpg
91732,850904001,69,1010001,32,2,3,1,65,1019,383,085/0850904001.jpg
101032,893750002,73,1010001,9,4,5,4,43,1019,26,089/0893750002.jpg
15250,566140025,59,1010001,43,4,18,1,60,1018,93,056/0566140025.jpg
53823,705878002,87,1010016,13,2,11,1,64,1020,295,070/0705878002.jpg
36005,649098003,253,1010016,9,4,5,3,26,1002,345,064/0649098003.jpg
84282,815092013,308,1010016,7,2,12,3,26,1002,14,081/0815092013.jpg
272,212629050,265,1010010,7,1,12,2,51,1002,89,021/0212629050.jpg
98049,877122004,254,1010014,6,1,12,4,76,1005,317,087/0877122004.jpg
87425,827739001,274,1010016,9,4,5,1,2,1005,68,082/0827739001.jpg
71442,763891005,259,1010010,72,3,2,3,21,1011,47,076/0763891005.jpg
3013,445400012,297,1010008,81,3,7,4,72,1017,147,044/0445400012.jpg
34228,640882003,255,1010016,12,1,11,3,55,1005,2,064/0640882003.jpg
45775,684161001,245,1010026,9,4,5,2,53,1003,159,068/0684161001.jpg
20060,586917001,258,1010016,63,5,6,1,18,1010,191,058/0586917001.jpg
84916,817236003,265,1010021,51,3,4,4,76,1014,330,081/0817236003.jpg
12721,554555007,274,1010014,73,5,2,26,49,1001,109,055/0554555007.jpg
4720,485973002,255,1010018,9,4,5,2,58,1005,187,048/0485973002.jpg
20757,590207003,265,1010016,42,5,18,4,76,1005,56,059/0590207003.jpg
16857,571709003,254,1010016,52,7,4,1,15,1005,200,057/0571709003.jpg
78655,795052003,265,1010004,9,4,5,1,18,1010,358,079/0795052003.jpg
75935,783354001,264,1010010,8,4,12,3,23,1008,366,078/0783354001.jpg
39286,660791001,272,1010023,72,2,2,2,57,1016,208,066/0660791001.jpg
31360,631842004,308,1010010,50,5,4,4,79,1002,13,063/0631842004.jpg
30691,629603004,272,1010014,9,4,5,4,76,1005,115,062/0629603004.jpg
79076,796555001,255,1010015,51,3,4,4,76,1005,228,079/0796555001.jpg
7502,514817011,253,1010001,22,7,8,2,53,1010,51,051/0514817011.jpg
94679,863599002,254,1010016,10,3,9,1,15,1005,125,086/0863599002.jpg
69529,757575001,71,1010012,73,4,2,4,45,1019,12,075/0757575001.jpg
22458,598698001,275,1010016,9,4,5,1,16,1002,1,059/0598698001.jpg
89329,837625003,297,1010016,72,1,2,4,44,1017,91,083/0837625003.jpg
224,199119038,274,1010001,73,4,2,4,44,1002,207,019/0199119038.jpg
83549,812375026,255,1010008,9,4,5,4,47,1005,100,081/0812375026.jpg
60373,728473002,298,1010001,10,3,9,1,60,1018,382,072/0728473002.jpg
17986,577150001,262,1010016,13,2,11,2,53,1007,378,057/0577150001.jpg
54800,708429002,254,1010016,10,3,9,1,15,1005,104,070/0708429002.jpg
36530,651082008,255,1010001,7,1,12,1,6,1005,396,065/0651082008.jpg
3621,459428018,262,1010016,19,4,20,3,55,1005,209,045/0459428018.jpg
16283,569514001,252,1010016,73,4,2,3,23,1003,386,056/0569514001.jpg
53425,704440001,80,1010005,9,4,5,3,25,1019,151,070/0704440001.jpg
79023,796391001,259,1010004,42,7,18,4,41,1006,320,079/0796391001.jpg
38576,658049001,272,1010010,7,2,12,4,44,1006,233,065/0658049001.jpg
385,234421004,304,1010016,73,4,2,1,62,1021,142,023/0234421004.jpg
96473,870525006,255,1010014,62,7,4,4,76,1005,309,087/0870525006.jpg
54589,708157007,252,1010016,9,4,5,2,50,1001,34,070/0708157007.jpg
39538,661757002,273,1010010,93,4,19,4,79,1002,143,066/0661757002.jpg
9822,536410001,252,1010009,73,4,2,1,15,1003,107,053/0536410001.jpg
42440,672795002,258,1010016,9,4,5,1,8,1010,150,067/0672795002.jpg
54338,707269003,-1,1010016,9,4,5,1,61,1017,188,070/0707269003.jpg
32705,636106003,255,1010021,31,1,3,1,11,1005,214,063/0636106003.jpg
101207,894941002,265,1010016,82,1,7,1,2,1005,118,089/0894941002.jpg
65815,745731001,70,1010016,93,5,19,1,66,1019,49,074/0745731001.jpg
30546,628921003,253,1010016,9,4,5,2,53,1010,227,062/0628921003.jpg
38939,659549003,265,1010001,72,2,2,2,50,1013,208,065/0659549003.jpg
24686,610234003,265,1010001,81,1,7,2,50,1013,35,061/0610234003.jpg
35815,648435003,271,1010001,6,1,12,4,41,1007,233,064/0648435003.jpg
23343,604547001,302,1010001,9,4,5,3,26,1021,261,060/0604547001.jpg
55895,712153004,265,1010016,42,7,18,2,51,1002,162,071/0712153004.jpg
94232,861541002,255,1010001,11,1,9,2,50,1005,71,086/0861541002.jpg
75513,781780002,94,1010016,9,4,5,1,64,1020,188,078/0781780002.jpg
80537,802396002,245,1010016,21,3,8,4,76,1003,58,080/0802396002.jpg
81337,805370009,273,1010016,9,4,5,4,77,1005,15,080/0805370009.jpg
7503,514825001,258,1010016,10,3,9,2,53,1010,354,051/0514825001.jpg
74442,776878001,270,1010017,12,1,9,4,44,1006,141,077/0776878001.jpg
12122,551647002,252,1010010,52,7,4,1,6,1005,200,055/0551647002.jpg
18732,580117001,254,1010001,9,4,5,1,8,1005,304,058/0580117001.jpg
72371,767469001,94,1010001,51,1,3,4,42,1020,242,076/0767469001.jpg
2445,408104022,259,1010016,71,3,2,3,30,1001,207,040/0408104022.jpg
33965,640175001,286,1010016,10,3,9,4,79,1017,315,064/0640175001.jpg
58799,721266002,308,1010016,93,4,19,2,53,1007,273,072/0721266002.jpg
28765,623989002,89,1010016,52,1,4,4,42,1020,37,062/0623989002.jpg
56189,713380004,296,1010001,7,1,12,3,26,1017,44,071/0713380004.jpg
84642,816563005,272,1010016,33,2,13,1,15,1009,352,081/0816563005.jpg
98663,880321001,70,1010016,5,5,15,1,66,1019,348,088/0880321001.jpg
38000,656048004,258,1010001,10,3,9,1,6,1010,152,065/0656048004.jpg
68860,755675005,265,1010002,9,4,5,4,43,1019,8,075/0755675005.jpg
67249,750422031,272,1010023,71,1,2,1,6,1009,110,075/0750422031.jpg
51847,699841001,274,1010016,9,4,5,26,49,1001,203,069/0699841001.jpg
769,292453028,70,1010016,93,4,19,1,66,1019,374,029/0292453028.jpg
48968,693602005,258,1010017,72,7,2,4,77,1014,368,069/0693602005.jpg
80482,802147001,293,1010017,71,1,2,1,62,1017,232,080/0802147001.jpg
83842,813557009,259,1010001,10,3,9,4,41,1006,201,081/0813557009.jpg
77499,789770007,308,1010016,11,1,9,1,6,1005,154,078/0789770007.jpg
29872,626441009,273,1010016,9,4,5,4,77,1005,115,062/0626441009.jpg
26630,617547002,254,1010017,73,4,2,4,72,1002,117,061/0617547002.jpg
25811,614857004,286,1010016,53,4,18,1,61,1017,167,061/0614857004.jpg
94897,864487004,252,1010002,8,4,12,4,40,1003,278,086/0864487004.jpg
95514,866794001,86,1010016,9,4,5,4,42,1020,26,086/0866794001.jpg
19597,584631070,302,1010026,73,4,2,3,26,1021,206,058/0584631070.jpg
90920,845428001,252,1010010,13,2,11,1,6,1003,14,084/0845428001.jpg
95795,867985001,308,1010016,9,4,5,2,53,1007,116,086/0867985001.jpg
3057,447201010,302,1010007,73,4,2,4,72,1021,63,044/0447201010.jpg
97594,875005001,255,1010016,31,1,3,1,8,1005,85,087/0875005001.jpg
1569,358753001,77,1010016,5,5,15,1,66,1019,374,035/0358753001.jpg
88106,831467003,306,1010016,41,2,18,1,61,1017,59,083/0831467003.jpg
61354,733029001,255,1010008,9,4,5,1,15,1005,230,073/0733029001.jpg
34437,641863001,253,1010016,9,4,5,3,55,1005,159,064/0641863001.jpg
63816,739825006,255,1010001,10,3,9,4,46,1005,76,073/0739825006.jpg
51457,699022001,306,1010016,9,4,5,1,61,1017,137,069/0699022001.jpg
1645,366686022,255,1010018,51,3,4,3,55,1005,207,036/0366686022.jpg
4479,485052002,253,1010018,9,4,5,3,55,1005,187,048/0485052002.jpg
44041,678942026,252,1010010,51,1,4,1,62,1017,166,067/0678942026.jpg
85926,821624002,286,1010016,92,5,19,4,72,1017,87,082/0821624002.jpg
29467,625472001,66,1010016,9,4,5,4,45,1019,27,062/0625472001.jpg
42691,673844002,252,1010010,8,2,12,3,28,1003,336,067/0673844002.jpg
93897,860241001,272,1010016,9,4,5,26,22,1007,17,086/0860241001.jpg
91765,851062002,66,1010026,12,1,11,1,65,1019,123,085/0851062002.jpg
97072,872820003,306,1010016,71,1,2,1,61,1017,232,087/0872820003.jpg
29729,626054001,262,1010016,9,4,5,4,45,1007,64,062/0626054001.jpg
69947,758942001,262,1010016,11,1,9,2,53,1007,141,075/0758942001.jpg
90866,845092004,265,1010017,73,4,2,4,79,1002,256,084/0845092004.jpg
55158,709433002,90,1010016,9,4,5,1,64,1020,188,070/0709433002.jpg
89526,838779002,261,1010016,61,3,6,4,45,1007,349,083/0838779002.jpg
36119,649440020,255,1010008,21,3,8,3,20,1005,239,064/0649440020.jpg
93439,858147002,306,1010016,10,3,9,1,61,1017,40,085/0858147002.jpg
86503,824194004,272,1010016,14,2,11,2,53,1009,293,082/0824194004.jpg
61298,732842003,272,1010023,10,3,9,2,57,1016,382,073/0732842003.jpg
2023,392269010,253,1010018,53,4,18,3,20,1005,356,039/0392269010.jpg
10014,537839004,306,1010016,9,4,5,1,61,1017,95,053/0537839004.jpg
27073,619229003,93,1010001,73,4,2,4,42,1020,102,061/0619229003.jpg
1522,355325001,254,1010017,9,4,5,4,72,1002,361,035/0355325001.jpg
18927,581228002,93,1010016,12,1,11,1,64,1020,210,058/0581228002.jpg
7653,516000056,255,1010017,73,4,2,1,11,1005,107,051/0516000056.jpg
47184,688105004,275,1010023,72,1,2,2,57,1016,208,068/0688105004.jpg
52808,702368007,78,1010016,13,2,11,2,52,1019,295,070/0702368007.jpg
14427,562749001,87,1010016,9,4,5,4,42,1020,98,056/0562749001.jpg
19736,585255001,275,1010001,10,3,9,4,76,1014,225,058/0585255001.jpg
62892,737892001,57,1010001,51,1,4,4,44,1019,37,073/0737892001.jpg
96587,870707009,75,1010016,61,3,6,4,45,1019,144,087/0870707009.jpg
56182,713355001,275,1010016,9,4,5,1,2,1005,230,071/0713355001.jpg
83193,811448004,265,1010016,42,2,18,4,76,1014,59,081/0811448004.jpg
13017,555988001,308,1010016,9,4,5,2,53,1007,187,055/0555988001.jpg
36568,651253004,255,1010018,7,2,12,3,55,1005,2,065/0651253004.jpg
27468,620187001,255,1010002,9,4,5,1,15,1005,1,062/0620187001.jpg
71563,764421004,75,1010015,9,4,5,4,45,1019,205,076/0764421004.jpg
4900,487800051,274,1010001,8,4,12,4,79,1002,92,048/0487800051.jpg
24375,609055001,272,1010016,9,4,5,1,15,1001,1,060/0609055001.jpg
92466,853906002,273,1010023,72,2,2,4,76,1016,330,085/0853906002.jpg
20420,588927006,272,1010016,93,7,19,4,46,1009,238,058/0588927006.jpg
88399,832734001,265,1010016,42,7,18,4,48,1023,326,083/0832734001.jpg
738,291333018,304,1010016,6,1,12,4,79,1021,311,029/0291333018.jpg
39731,662371001,304,1010001,7,1,12,4,44,1021,44,066/0662371001.jpg
103955,917297005,308,1010016,17,4,13,3,26,1002,278,091/0917297005.jpg
35935,648911002,272,1010016,42,7,18,4,40,1006,94,064/0648911002.jpg
9103,529563001,274,1010016,9,4,5,2,53,1025,29,052/0529563001.jpg
11232,546579003,70,1010016,3,3,15,1,66,1019,213,054/0546579003.jpg
102411,903824002,252,1010026,11,1,9,1,11,1003,168,090/0903824002.jpg
2992,443860025,257,1010016,9,4,5,3,23,1003,362,044/0443860025.jpg
54625,708246001,254,1010016,9,4,5,2,53,1005,159,070/0708246001.jpg
94996,865073003,274,1010016,31,1,3,1,15,1025,241,086/0865073003.jpg
71884,765907003,263,1010016,13,2,11,3,31,1007,237,076/0765907003.jpg
68106,753219001,94,1010016,73,4,2,4,42,1020,12,075/0753219001.jpg
94011,860624013,252,1010002,92,1,19,4,76,1003,365,086/0860624013.jpg
35327,646492001,270,1010016,10,3,9,4,41,1006,76,064/0646492001.jpg
63588,739590018,59,1010016,42,5,18,1,60,1018,199,073/0739590018.jpg
72946,769673004,89,1010016,9,4,5,3,27,1020,151,076/0769673004.jpg
68947,755781007,265,1010001,72,2,2,4,76,1014,99,075/0755781007.jpg
1799,377436007,78,1010014,52,7,4,1,66,1019,90,037/0377436007.jpg
88920,835296002,66,1010016,3,3,15,1,65,1019,351,083/0835296002.jpg
77247,788547001,253,1010016,10,3,9,1,8,1005,104,078/0788547001.jpg
54324,707235003,262,1010001,9,4,5,3,31,1007,345,070/0707235003.jpg
102422,903861003,259,1010023,9,4,5,1,15,1008,185,090/0903861003.jpg
68130,753280002,276,1010016,73,4,2,4,45,1007,74,075/0753280002.jpg
93986,860553002,257,1010009,51,1,4,4,79,1002,79,086/0860553002.jpg
24591,609907002,275,1010023,22,1,8,1,18,1009,30,060/0609907002.jpg
27560,620216034,273,1010011,51,3,4,4,79,1002,300,062/0620216034.jpg
24411,609170010,272,1010016,73,5,2,26,49,1001,109,060/0609170010.jpg
7825,517729051,74,1010001,32,5,3,1,66,1019,90,051/0517729051.jpg
70627,761221001,308,1010016,9,4,5,1,6,1005,230,076/0761221001.jpg
70493,760783001,308,1010001,51,1,4,4,40,1005,314,076/0760783001.jpg
22733,599729005,90,1010016,10,3,9,1,64,1020,25,059/0599729005.jpg
55206,709749001,59,1010001,73,4,2,3,26,1018,12,070/0709749001.jpg
7679,516131005,273,1010016,43,4,18,4,79,1002,56,051/0516131005.jpg
51400,698882002,94,1010017,73,4,2,4,42,1020,12,069/0698882002.jpg
8986,528059004,245,1010010,52,2,4,1,2,1003,23,052/0528059004.jpg
100032,888029001,91,1010011,51,1,4,4,42,1020,242,088/0888029001.jpg
74134,775253004,272,1010001,7,1,12,4,41,1003,141,077/0775253004.jpg
53638,705294001,49,1010016,71,1,2,4,44,1017,37,070/0705294001.jpg
91268,848456001,259,1010023,72,2,2,1,57,1016,232,084/0848456001.jpg
97887,876261001,70,1010016,3,3,15,1,66,1019,351,087/0876261001.jpg
70927,762156008,308,1010016,14,4,13,3,31,1007,278,076/0762156008.jpg
28628,623745001,265,1010016,93,5,19,1,14,1013,129,062/0623745001.jpg
43378,676635001,254,1010010,8,4,12,1,8,1005,130,067/0676635001.jpg
96696,871243001,306,1010016,10,3,9,1,61,1017,40,087/0871243001.jpg
92972,855962001,91,1010016,10,3,9,4,42,1020,255,085/0855962001.jpg
88256,832278002,255,1010016,9,4,5,2,53,1005,62,083/0832278002.jpg
91673,850726001,265,1010021,11,1,9,2,50,1013,293,085/0850726001.jpg
102135,902388002,254,1010016,53,5,4,2,53,1005,160,090/0902388002.jpg
72206,766996001,272,1010023,72,2,2,4,47,1016,91,076/0766996001.jpg
56330,713824017,286,1010012,51,3,4,4,72,1017,332,071/0713824017.jpg
68577,754697004,308,1010014,22,2,8,2,53,1005,237,075/0754697004.jpg
7828,517729091,74,1010001,93,7,19,1,66,1019,337,051/0517729091.jpg
5734,499334005,78,1010016,43,4,18,3,25,1019,93,049/0499334005.jpg
86764,824983003,80,1010016,51,1,4,4,44,1019,242,082/0824983003.jpg
46515,685985001,90,1010016,9,4,5,2,52,1020,27,068/0685985001.jpg
41361,668579003,265,1010001,10,3,9,1,15,1013,152,066/0668579003.jpg
57081,715624053,308,1010016,72,1,2,2,51,1002,283,071/0715624053.jpg
65079,743803002,265,1010016,53,5,4,1,11,1013,387,074/0743803002.jpg
30834,630084007,274,1010016,19,4,20,3,21,1025,133,063/0630084007.jpg
79010,796314003,258,1010016,43,4,18,1,2,1010,369,079/0796314003.jpg
70105,759426002,262,1010016,93,4,19,4,45,1007,134,075/0759426002.jpg
33910,640124003,252,1010016,19,4,20,2,53,1003,209,064/0640124003.jpg
37492,653829002,255,1010016,81,3,7,4,47,1005,190,065/0653829002.jpg
2373,405586009,252,1010010,31,1,3,2,50,1005,338,040/0405586009.jpg
19586,584631047,302,1010001,50,5,4,3,26,1021,206,058/0584631047.jpg
12913,555351005,272,1010016,72,3,2,4,77,1016,333,055/0555351005.jpg
30259,627408002,265,1010021,42,5,18,1,14,1013,177,062/0627408002.jpg
85600,820462001,295,1010001,7,1,12,4,44,1017,44,082/0820462001.jpg
15208,566010002,272,1010016,43,4,18,2,70,1023,280,056/0566010002.jpg
73994,774479001,74,1010016,7,1,12,1,65,1019,295,077/0774479001.jpg
34949,644464001,274,1010023,72,2,2,1,15,1025,272,064/0644464001.jpg
60294,727940002,297,1010001,51,3,4,4,44,1017,4,072/0727940002.jpg
14194,561879001,273,1010026,9,4,5,26,5,1005,156,056/0561879001.jpg
58222,719259002,265,1010016,9,4,5,1,15,1001,65,071/0719259002.jpg
16967,572322001,80,1010004,23,4,8,3,25,1019,98,057/0572322001.jpg
89502,838726006,272,1010016,19,4,20,2,53,1009,257,083/0838726006.jpg
12695,554546031,272,1010023,6,1,12,4,46,1016,292,055/0554546031.jpg
25154,611547006,255,1010016,10,3,9,4,76,1005,197,061/0611547006.jpg
23241,603584008,274,1010023,19,4,20,1,15,1025,133,060/0603584008.jpg
60493,729441004,254,1010016,51,1,4,2,53,1005,101,072/0729441004.jpg
65907,746139001,275,1010018,9,4,5,4,77,1014,245,074/0746139001.jpg
102441,903918002,77,1010016,3,3,15,1,66,1019,351,090/0903918002.jpg
45857,684588007,258,1010016,10,3,9,1,15,1010,152,068/0684588007.jpg
9609,534164032,253,1010016,73,4,2,1,8,1005,107,053/0534164032.jpg
115,179123001,273,1010016,9,4,5,1,16,1002,267,017/0179123001.jpg
90905,845425006,265,1010001,52,1,4,4,79,1002,79,084/0845425006.jpg
35250,646016001,267,1010010,13,2,1,4,44,1006,263,064/0646016001.jpg
26498,617249016,274,1010016,14,4,11,3,21,1025,261,061/0617249016.jpg
65437,744355017,297,1010012,7,1,12,4,79,1017,108,074/0744355017.jpg
25331,612305001,272,1010016,9,4,5,1,18,1005,1,061/0612305001.jpg
25561,613463001,254,1010010,7,1,12,1,15,1005,248,061/0613463001.jpg
6771,508640001,274,1010010,7,2,12,26,22,1007,323,050/0508640001.jpg
32046,633880001,74,1010016,42,7,18,4,43,1019,77,063/0633880001.jpg
20968,591470003,272,1010016,13,2,11,4,76,1009,372,059/0591470003.jpg
77063,787770003,256,1010008,10,3,9,4,44,1005,201,078/0787770003.jpg
95134,865558001,59,1010016,10,3,9,1,60,1018,80,086/0865558001.jpg
36263,649977001,271,1010016,81,1,7,4,44,1005,234,064/0649977001.jpg
36870,652000012,252,1010001,6,1,12,4,76,1005,45,065/0652000012.jpg
14314,562299005,76,1010016,17,2,13,1,65,1019,210,056/0562299005.jpg
23767,606868001,272,1010016,72,2,2,4,77,1016,333,060/0606868001.jpg
46684,686461003,252,1010016,12,1,11,1,18,1003,248,068/0686461003.jpg
85075,817876001,254,1010016,9,4,5,4,79,1002,15,081/0817876001.jpg
49886,695551001,264,1010022,9,4,5,1,15,1008,327,069/0695551001.jpg
29112,624645002,254,1010016,10,3,9,1,2,1010,152,062/0624645002.jpg
76837,786743003,263,1010016,17,2,1,1,19,1007,85,078/0786743003.jpg
35547,647268005,252,1010005,10,3,9,3,55,1005,328,064/0647268005.jpg
14019,561218001,252,1010017,43,4,18,1,6,1003,19,056/0561218001.jpg
98629,880118002,256,1010001,51,1,4,4,44,1002,158,088/0880118002.jpg
48927,693571001,272,1010018,7,2,12,4,77,1009,45,069/0693571001.jpg
91103,846604002,262,1010005,9,4,5,4,45,1007,116,084/0846604002.jpg
61146,732392001,306,1010016,73,4,2,1,61,1017,277,073/0732392001.jpg
5377,495161001,273,1010018,9,4,5,2,58,1005,187,049/0495161001.jpg
39255,660685002,262,1010016,7,1,12,4,45,1007,2,066/0660685002.jpg
98832,881111003,272,1010023,73,4,2,2,57,1016,390,088/0881111003.jpg
74676,777800002,259,1010004,73,4,2,3,21,1011,47,077/0777800002.jpg
5420,495692001,252,1010016,9,4,5,3,23,1003,362,049/0495692001.jpg
68993,755969002,75,1010010,73,4,2,4,44,1006,288,075/0755969002.jpg
35215,645950001,75,1010012,9,4,5,1,65,1019,302,064/0645950001.jpg
35015,644769001,67,1010016,9,4,5,2,52,1019,27,064/0644769001.jpg
20742,590184003,255,1010016,10,3,9,4,76,1005,92,059/0590184003.jpg
34409,641748011,252,1010014,73,4,2,3,20,1005,381,064/0641748011.jpg
18289,578471005,263,1010016,13,2,11,1,19,1007,114,057/0578471005.jpg
29848,626415003,259,1010004,52,1,4,4,77,1014,20,062/0626415003.jpg
96641,870970002,265,1010016,13,2,11,2,51,1002,194,087/0870970002.jpg
38382,657308002,265,1010016,71,1,2,1,18,1010,110,065/0657308002.jpg
46870,687034009,298,1010001,43,4,3,1,60,1018,184,068/0687034009.jpg
25896,615173002,272,1010016,73,4,2,1,14,1001,157,061/0615173002.jpg
100798,892446001,70,1010016,5,5,15,1,66,1019,348,089/0892446001.jpg
47271,688464024,259,1010013,43,4,18,4,47,1011,198,068/0688464024.jpg
8200,520963001,75,1010016,7,1,12,4,44,1019,139,052/0520963001.jpg
3049,446224036,245,1010016,93,4,19,2,53,1003,24,044/0446224036.jpg
10830,543502001,144,1010011,4,2,15,1,64,1020,213,054/0543502001.jpg
70660,761323001,255,1010016,42,7,18,2,53,1005,162,076/0761323001.jpg
45603,683830001,78,1010016,3,3,15,2,52,1019,231,068/0683830001.jpg
73857,773873001,70,1010016,31,3,3,1,66,1019,188,077/0773873001.jpg
49503,694739044,69,1010001,73,5,2,4,45,1019,12,069/0694739044.jpg
68087,753213001,80,1010001,51,1,4,4,44,1019,37,075/0753213001.jpg
10822,543352006,258,1010016,93,4,19,1,11,1010,129,054/0543352006.jpg
61314,732858002,255,1010005,13,1,1,2,53,1005,86,073/0732858002.jpg
101288,895570004,94,1010016,9,4,5,4,42,1020,26,089/0895570004.jpg
60358,728345001,78,1010016,51,7,4,4,45,1019,211,072/0728345001.jpg
3472,455014028,302,1010013,10,3,9,4,79,1021,32,045/0455014028.jpg
76414,784747002,265,1010016,10,3,9,1,18,1005,104,078/0784747002.jpg
12323,552743012,252,1010016,73,4,2,3,28,1003,386,055/0552743012.jpg
16271,569453002,74,1010016,51,3,4,4,43,1019,244,056/0569453002.jpg
85553,820252001,75,1010010,8,4,12,4,48,1023,255,082/0820252001.jpg
40568,665082001,78,1010001,19,2,20,1,66,1019,347,066/0665082001.jpg
100734,892192001,254,1010001,7,1,12,4,43,1019,153,089/0892192001.jpg
55994,712568001,274,1010017,73,4,2,4,41,1005,74,071/0712568001.jpg
50980,697920045,286,1010004,9,4,5,3,26,1017,8,069/0697920045.jpg
102596,904965002,273,1010001,9,4,5,1,2,1005,68,090/0904965002.jpg
44140,679128003,255,1010017,50,5,4,4,77,1005,13,067/0679128003.jpg
68793,755595003,272,1010016,9,4,5,4,46,1009,100,075/0755595003.jpg
80356,801823001,275,1010015,73,4,2,4,76,1014,277,080/0801823001.jpg
75435,781608002,263,1010016,17,4,13,1,19,1007,366,078/0781608002.jpg
53794,705824001,89,1010009,4,2,15,4,42,1020,88,070/0705824001.jpg
56442,713995024,264,1010010,13,2,1,3,23,1008,85,071/0713995024.jpg
63240,738745001,87,1010016,14,4,11,4,42,1020,0,073/0738745001.jpg
49854,695457001,255,1010016,52,2,18,2,50,1005,66,069/0695457001.jpg
39270,660726001,258,1010016,10,3,9,1,11,1010,152,066/0660726001.jpg
61514,733430001,255,1010016,73,4,2,4,44,1002,74,073/0733430001.jpg
2980,443696057,308,1010016,42,5,18,4,72,1002,364,044/0443696057.jpg
29323,625117009,262,1010016,9,4,5,4,45,1007,64,062/0625117009.jpg
15717,567805002,272,1010016,73,4,2,3,21,1009,287,056/0567805002.jpg
82413,808614003,94,1010016,10,3,9,1,64,1020,80,080/0808614003.jpg
30537,628838008,272,1010023,73,2,2,3,56,1016,35,062/0628838008.jpg
99896,887471001,254,1010016,7,1,12,1,65,1019,153,088/0887471001.jpg
57664,717490083,255,1010007,72,1,2,2,51,1002,283,071/0717490083.jpg
42708,673900001,272,1010016,9,4,5,2,53,1009,227,067/0673900001.jpg
28803,624062004,252,1010008,6,1,12,4,77,1003,372,062/0624062004.jpg
88451,832926001,70,1010016,42,5,18,1,66,1019,199,083/0832926001.jpg
25813,614878001,259,1010023,71,1,2,2,53,1010,70,061/0614878001.jpg
56421,713993059,74,1010006,9,4,5,1,66,1019,188,071/0713993059.jpg
51520,699115001,267,1010016,9,4,5,2,50,1001,34,069/0699115001.jpg
62274,735833001,262,1010004,11,1,9,3,28,1011,67,073/0735833001.jpg
77633,790518002,82,1010016,51,1,4,3,25,1019,242,079/0790518002.jpg
93065,856617002,255,1010025,73,4,2,1,6,1005,46,085/0856617002.jpg
13318,557546005,75,1010016,14,4,11,3,28,1019,132,055/0557546005.jpg
78736,795505001,265,1010016,9,4,5,1,15,1013,358,079/0795505001.jpg
23122,602409006,252,1010010,12,1,11,3,20,1003,73,060/0602409006.jpg
40833,665697001,89,1010016,73,4,2,4,42,1020,12,066/0665697001.jpg
22047,596709002,262,1010016,7,1,12,4,45,1007,233,059/0596709002.jpg
6189,503134003,254,1010017,72,7,2,1,15,1010,384,050/0503134003.jpg
81268,805083001,276,1010016,73,4,2,4,45,1007,160,080/0805083001.jpg
50430,696842002,66,1010001,22,5,8,2,52,1019,27,069/0696842002.jpg
75406,781496001,265,1010001,11,1,9,1,15,1023,241,078/0781496001.jpg
17540,574454002,77,1010016,3,3,15,1,66,1019,213,057/0574454002.jpg
77524,789921001,252,1010016,9,4,5,26,5,1005,236,078/0789921001.jpg
30767,629828001,270,1010001,11,1,9,4,40,1006,233,062/0629828001.jpg
29661,625905001,262,1010016,73,4,2,4,45,1007,11,062/0625905001.jpg
32514,635283001,66,1010016,9,4,5,1,65,1019,302,063/0635283001.jpg
14798,564314016,286,1010001,60,5,6,3,26,1017,206,056/0564314016.jpg
82459,808685001,92,1010016,10,3,9,1,64,1020,80,080/0808685001.jpg
17755,575533019,255,1010008,10,3,9,4,46,1005,10,057/0575533019.jpg
99534,885057001,91,1010016,5,5,15,4,42,1020,223,088/0885057001.jpg
97376,874058001,80,1010011,17,2,13,1,65,1019,123,087/0874058001.jpg
24959,611030003,302,1010010,8,4,-1,26,5,1019,161,061/0611030003.jpg
70504,760830001,245,1010010,17,4,13,1,16,1002,130,076/0760830001.jpg
97312,873653003,91,1010016,20,5,8,1,64,1020,285,087/0873653003.jpg
93769,859619002,306,1010016,9,4,5,1,61,1017,279,085/0859619002.jpg
14895,564485001,245,1010010,6,1,12,1,16,1003,114,056/0564485001.jpg
53894,706016003,272,1010016,73,2,2,2,53,1009,283,070/0706016003.jpg
